Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,Govt good,Govt bad,Govt net,Question
,Oct,10-14,,Gallup,News Chron,45.5,1.5,41.5,-1.5,12.0,-1.0,4.0,3.0,,,57.0,,,,,,,,,,,43.0,27.0,16.0,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,,,Gallup,News Chron,46.5,1.0,42.5,1.0,10.0,-2.0,4.0,0.0,,,,,,,,,,,,,,48.0,33.0,15.0,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,6-10,,Gallup,News Chron,47.0,0.5,42.5,0.0,9.5,-0.5,4.5,0.5,,,,,,,,,,,,,,50.0,29.0,21.0,Are you satisfied or dissatisfied with the Government's record to date?
1959,Jan,10-14,19,Gallup,News Chron,45.5,-1.5,45.0,2.5,8.5,-1.0,0.5,-4.0,,,53.0,,,,,,,,,,,,,,
,Jan,,19,NOP,DM,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,24-28,,Gallup,News Chron,44.5,-1.0,46.5,1.5,8.5,0.0,-2.0,-2.5,,,,,,,,,,,,,,48.0,34.0,14.0,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,,,Gallup,News Chron,43.0,-1.5,47.0,0.5,8.5,0.0,-4.0,-2.0,,,54.0,,,,,,,,,,,41.0,30.0,11.0,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,13-18,,Gallup,News Chron,45.5,2.5,47.0,0.0,6.5,-2.0,-1.5,2.5,,,57.0,,,,,,,,,,,,,,
,Apr,10-15,,Gallup,News Chron,44.5,-1.0,44.0,-3.0,10.0,3.5,0.5,2.0,,,60.0,,,,,,,,,,,46.0,35.0,11.0,Are you satisfied or dissatisfied with the Government's record to date?
,May,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,,62.0,,,,,,,,,,,47.0,32.0,15.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,6-10,,Gallup,News Chron,45.0,,43.5,,11.0,,1.5,,,,58.0,,,,,,,,,,,49.0,29.0,20.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,,,,DE,44.5,,39.5,,7.5,,5.0,,"Fron newspaper advertisement in Guardian 26/6/59, likely to include DK",,,,,,,,,,,,,,,,
,Jul,4-7,,Gallup,News Chron,45.5,0.5,41.5,-2.0,12.5,1.5,4.0,2.5,,,,,,,,,,,,,,,,,
,Jul,17-22,,Gallup,News Chron,46.0,0.5,42.0,0.5,11.0,-1.5,4.0,0.0,,,,,,,,,,,,,,,,,
,Jul,23-27,,Gallup,News Chron,46.5,0.5,43.0,1.0,9.5,-1.5,3.5,-0.5,,,62.0,,,,,,,,,,,53.0,24.0,29.0,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,7-12,,Gallup,News Chron,47.5,1.0,41.5,-1.5,10.0,0.5,6.0,2.5,,,67.0,,,,,,,,,,,56.0,28.0,28.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,,4,NOP,DM,51.2,,42.9,,5.9,,8.3,,,,,,,,,,,,,,,,,,
,Sep,,8,Gallup,News Chron,48.3,,41.9,,9.3,,6.4,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK",,,,,,,,,,,,,,,,
,Sep,,15,,DE,50.8,,42.7,,5.9,,8.1,,,,,,,,,,,,,,,,,,
,Sep,,,Gallup,News Chron,50.5,3.0,43.5,2.0,5.5,-4.5,7.0,1.0,,,,,,,,,,,,,,,,,
,Sep,,17,Gallup,News Chron,50.6,,43.9,,4.9,,6.7,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK",,,,,,,,,,,,,,,,
,Sep,,21,NOP,DM,47.4,-3.8,43.5,0.6,9.1,3.2,3.9,-4.4,,,,,,,,,,,,,,,,,
,Sep,,22,,DE,51.1,0.3,43.0,0.3,5.4,-0.5,8.1,-1.0,,,,,,,,,,,,,,,,,
,Sep,11-15,,Gallup,News Chron,49.0,-1.5,44.5,1.0,6.0,0.5,4.5,-2.5,,,,,,,,,,,,,,,,,
,Sep,,24,Gallup,News Chron,49.7,,44.8,,4.9,,4.9,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK",,,,,,,,,,,,,,,,
,Sep,-28,,NOP,DM,47.8,0.4,45.6,2.1,5.6,-3.5,2.2,-1.7,,,,,,,,,,,,,,,,,
,Sep,29,,,DE,49.5,-1.6,44.5,1.5,5.5,0.1,5.0,-4.0,,,,,,,,,,,,,,,,,
,Sep,25-28,,Gallup,News Chron,46.0,-3.0,46.5,2.0,7.0,1.0,-0.5,-5.0,,,,,,,,,,,,,,,,,
,Sep,,1,Gallup,News Chron,48.5,,46.6,,4.3,,1.9,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK",,,,,,,,,,,,,,,,
,Oct,29-2,,Gallup,News Chron,45.0,-1.0,47.0,0.5,7.5,0.5,-2.0,-1.5,,,,,,,,,,,,,,,,,
,Oct,,5,Gallup,News Chron,47.2,,47.2,,5.0,,0.0,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK",,,,,,,,,,,,,,,,
,Oct,-5,,NOP,DM,48.4,0.6,46.9,1.3,4.7,-0.9,1.5,-0.7,,,,,,,,,,,,,,,,,
,Oct,,6,,DE,49.7,0.2,46.2,1.7,3.5,-2.0,3.5,0.0,,,,,,,,,,,,,,,,,
,Oct,1-4,,Forecasting Statistics,DT,49.0,,46.0,,5.0,,3.0,,,,,,,,,,,,,,,,,,
,Oct,3-6,,Gallup,News Chron,46.5,1.5,47.5,0.5,5.5,-2.0,-1.0,1.0,,,,,,,,,,,,,,,,,
,Oct,3-6,8,Gallup,News Chron,48.5,,46.5,,4.5,,2.0,,,,,,,,,,,,,,,,,,
,Oct,2-5,8,NOP,DM,48.0,-0.4,44.1,-2.8,8.5,3.8,3.9,2.4,,,,,,,,,,,,,,,,,
,,,8,,DE,49.1,-0.6,45.4,-0.8,5.0,1.5,3.7,0.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Result,,48.8,,44.6,,6.0,,4.2,,"Note: various poll figures rounded off to nearest half percent (?) - hence different figures from Hodder-Williams, p.25",,,,,,,,,,,,,,,,
