Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
,Jun,3-30,,G9000,,,,,,,,,,,,,,51.7,38.8,12.9,47.0,22.6,24.4,61.5,23.5,38.0,,,,,,34.0,52.1,-18.1,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,1-6,,Gallup,,42.0,-2.5,37.5,1.0,15.5,-1.0,,,4.5,-3.5,,,,,,,,,,,,,,,,,,,,
,Jul,3-4,8,ICM,GU,45.0,1.0,39.0,3.0,12.0,-1.0,,,6.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Jul,15-16,19,Harris,OB,44.0,-2.0,38.0,2.0,15.0,0.0,,,6.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Jul,23-28,2,MORI,ST,39.0,-3.0,43.0,4.0,15.0,-1.0,,,-4.0,-7.0,,,,,,,,,,,,,,,,,,,,
,Jul,29-3,,Gallup,,40.5,-1.5,45.0,7.5,12.0,-3.5,,,-4.5,-9.0,,,,,,,,,,,,,,,,,,,,
,Jul,,,G9000,,39.1,,41.4,,14.8,,,,-2.3,,,,49.2,41.4,7.8,48.5,20.2,28.3,57.4,24.8,32.6,,43.0,27.0,17.0,,30.4,55.5,-25.1,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,7-8,9,ICM,GU,41.0,-4.0,40.0,1.0,14.0,2.0,,,1.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Aug,14,15,NOP,IoS,43.0,,39.0,,14.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,
,Aug,21,,MORI,,38.0,-1.0,44.0,1.0,14.0,-1.0,,,-6.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Aug,27-1,7,MORI,TT,41.0,3.0,44.0,0.0,13.0,-1.0,,,-3.0,3.0,,,,,,,,,,,,,,,,,,,,
,Aug,29/7-1/9,,G9000,,38.4,-0.7,42.6,1.2,14.1,-0.7,,,-4.2,-1.9,,,45.2,44.8,0.4,38.8,17.4,21.4,57.0,23.6,33.4,,41.0,30.0,15.0,,26.2,60.7,-34.5,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,2-7,,Gallup,,43.0,2.5,40.5,-4.5,12.0,0.0,,,2.5,7.0,,,,,,,,,,,,,,,,,,,,
,Sep,5-6,10,ICM,GU,38.0,-3.0,38.0,-1.0,18.0,4.0,,,0.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Sep,16-17,20,Harris,OB,36.0,-8.0,44.0,6.0,16.0,1.0,,,-8.0,-14.0,,,,,,,,,,,,,,,,,,,,
,Sep,16-21,28,Gallup,DT,37.0,-6.0,42.0,1.5,17.0,5.0,,,-5.0,-7.5,,,,,,,,,,,,,,,,,,,,
,Sep,18,20,NOP,IoS,39.0,-4.0,41.0,2.0,16.0,2.0,,,-2.0,-6.0,,,,,,,,,,,,,,,,,,,,
,Sep,18-19,20,MORI,ST,39.0,,43.0,,15.0,,,,-4.0,,Phone,,,,,,,,,,,,,,,,,,,
,Sep,23-28,4,Gallup,DT,37.0,0.0,44.0,2.0,15.0,-2.0,,,-7.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Sep,25-29,5,MORI,TT,37.0,-4.0,43.0,-1.0,16.0,3.0,,,-6.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Sep,2-29,,G9000,,36.9,-1.5,44.5,1.9,14.2,0.1,,,-7.6,-3.4,,,38.7,52.1,-13.4,33.6,22.1,11.5,55.2,26.0,29.2,,40.0,29.0,16.0,,22.4,64.5,-42.1,Are you satisfied or dissatisfied with the Government's record to date?
,Oct,7-12,,Gallup,,36.0,-1.0,45.0,1.0,14.0,-1.0,,,-9.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Oct,9-10,14,ICM,GU,38.0,0.0,42.0,4.0,16.0,-2.0,,,-4.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Oct,14-19,,Gallup,,29.0,-7.0,51.0,6.0,14.0,0.0,,,-22.0,-13.0,,,,,,,,,,,,,,,,,,,,
,Oct,23-27,1,MORI,ST,35.0,-2.0,45.0,2.0,15.0,-1.0,,,-10.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Oct,28-2,6,Gallup,DT,32.5,3.5,50.0,-1.0,13.0,-1.0,,,-17.5,4.5,,,,,,,,,,,,,,,,,,,,
,Oct,30,1,NOP,IoS,34.0,-5.0,47.0,6.0,14.0,-2.0,,,-13.0,-11.0,,,,,,,,,,,,,,,,,,,,
,Oct,30/9-3/11,,G9000,,32.0,-4.9,48.4,3.9,14.4,0.2,,,-16.4,-8.8,,,25.6,67.0,-41.4,45.1,18.6,26.5,54.5,26.1,28.4,,26.0,35.0,21.0,,14.0,75.6,-61.6,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,6-7,12,ICM,GU,34.0,-4.0,43.0,1.0,17.0,1.0,,,-9.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Nov,7-8,16,Harris,WIA,30.0,-6.0,53.0,9.0,13.0,-3.0,,,-23.0,-15.0,,,,,,,,,,,,,,,,,,,,
,Nov,11-12,15,Harris,OB,32.0,2.0,51.0,-2.0,14.0,1.0,,,-19.0,4.0,,,,,,,,,,,,,,,,,,,,
,Nov,19-20,22,ICM,DE,33.0,-1.0,49.0,6.0,14.0,-3.0,,,-16.0,-7.0,,,,,,,,,,,,,,,,,,,,
,Nov,25-30,4,Gallup,DT,29.0,-3.5,52.0,2.0,14.0,1.0,,,-23.0,-5.5,,,,,,,,,,,,,,,,,,,,
,Nov,27-1,8,MORI,ST,34.0,-1.0,47.0,2.0,15.0,0.0,,,-13.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Nov,4/11-1/12,,G9000,,30.2,-1.8,51.5,3.1,13.5,-0.9,,,-21.3,-4.9,,,23.3,69.0,-45.7,48.9,21.3,27.6,56.3,26.7,29.6,,21.0,38.0,16.0,,13.9,77.4,-63.5,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,4-5,9,ICM,GU,33.0,0.0,45.0,-4.0,16.0,2.0,,,-12.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Dec,11-15,27,MORI,ST,34.0,0.0,47.0,0.0,16.0,1.0,,,-13.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dec,1-22,,G9000,,32.2,2.0,48.1,-3.4,14.6,1.1,,,-15.9,5.4,,,27.0,65.7,-38.7,46.3,25.5,20.8,55.1,28.2,26.9,,25.5,34.0,15.7,,15.9,74.9,-59.0,Are you satisfied or dissatisfied with the Government's record to date?
1993,Jan,6-11,15,Gallup,DT,33.5,4.5,45.5,-6.5,14.5,0.5,,,-12.0,11.0,,,,,,,,,,,,,,,,,,,,
,Jan,8-9,14,ICM,GU,38.0,5.0,42.0,-3.0,15.0,-1.0,,,-4.0,8.0,,,,,,,,,,,,,,,,,,,,
,Jan,21-25,31,MORI,ST,37.0,3.0,45.0,-2.0,14.0,-2.0,,,-8.0,5.0,,,,,,,,,,,,,,,,,,,,
,Jan,25-26,,MORI,CCC,38.0,1.0,44.0,-1.0,13.0,-1.0,,,-6.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jan,27-1,5,Gallup,DT,33.5,0.0,46.0,0.5,15.5,1.0,,,-12.5,-0.5,,,,,,,,,,,,,,,,,,,,
,Jan,6/1-2/2,,G9000,,33.0,0.8,47.9,-0.2,13.9,-0.7,,,-14.9,1.0,,,31.2,61.2,-30.0,43.0,29.5,13.5,56.1,26.1,30.0,,27.6,32.0,16.4,,17.4,72.1,-54.7,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,4-5,10,ICM,GU,37.0,-1.0,45.0,3.0,13.0,-2.0,,,-8.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Feb,18-22,26,MORI,TT,34.0,-4.0,46.0,2.0,16.0,3.0,,,-12.0,-6.0,,,,,,,,,,,,,,,,,,,,
,Feb,24-1,5,Gallup,DT,32.0,-1.5,49.0,3.0,14.0,-1.5,,,-17.0,-4.5,,,,,,,,,,,,,,,,,,,,
,Feb,2/2-2/3,,G9000,,31.9,-1.1,47.4,-0.5,15.4,1.5,,,-15.5,-0.6,,,27.9,65.3,-37.4,45.1,28.6,16.5,56.2,25.3,30.9,,25.4,31.6,16.9,,16.0,74.3,-58.3,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,5-6,13,ICM,GU,34.0,-3.0,45.0,0.0,16.0,3.0,,,-11.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Mar,25-29,2,MORI,TT,32.0,-2.0,47.0,1.0,17.0,1.0,,,-15.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Mar,30-5,8,Gallup,DT,30.5,-1.5,49.0,0.0,15.5,1.5,,,-18.5,-1.5,,,,,,,,,,,,,,,,,,,,
,Mar,3-30,,G9000,,30.0,-1.9,48.3,0.9,15.8,0.4,,,-18.3,-2.8,,,24.9,68.3,-43.4,47.2,27.7,19.5,55.6,25.0,30.6,,23.0,32.6,17.9,,14.4,76.0,-61.6,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,2-3,7,ICM,GU,34.0,0.0,46.0,1.0,15.0,-1.0,,,-12.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Apr,22-26,30,MORI,TT,32.0,0.0,46.0,-1.0,20.0,3.0,,,-14.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,27-3,7,Gallup,DT,30.0,-0.5,47.0,-2.0,17.5,2.0,,,-17.0,1.5,,,,,,,,,,,,,,,,,,,,
,Apr,30-27,,G9000,,30.9,0.9,47.4,-0.9,16.0,0.2,,,-16.5,1.8,,,26.0,67.5,-41.5,47.0,29.7,17.3,55.9,24.2,31.7,,23.2,31.5,17.5,,16.0,74.4,-58.4,Are you satisfied or dissatisfied with the Government's record to date?
,May,7-8,12,ICM,GU,29.0,-5.0,43.0,-3.0,23.0,8.0,,,-14.0,-2.0,,,,,,,,,,,,,,,,,,,,
,May,20-24,28,MORI,TT,28.0,-4.0,44.0,-2.0,24.0,4.0,,,-16.0,-2.0,,,,,,,,,,,,,,,,,,,,
,May,26-31,1,Gallup,DT,25.0,-5.0,49.0,2.0,23.0,5.5,,,-24.0,-7.0,,,,,,,,,,,,,,,,,,,,
,May,27/4-1/6,,G9000,,26.8,-4.1,44.2,-3.2,23.6,7.6,,,-17.4,-0.9,,,23.1,70.4,-47.3,44.4,32.2,12.2,61.9,20.6,41.3,,20.4,30.3,21.6,,13.8,77.4,-63.6,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,4-5,9,ICM,GU,27.0,-2.0,43.0,0.0,25.0,2.0,,,-16.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jun,11,13,NOP,IoS,27.0,,42.0,,26.0,,,,-15.0,,,,,,,,,,,,,,,,,,,,,
,Jun,11-12,13,MORI,ST,29.0,1.0,44.0,0.0,22.0,-2.0,,,-15.0,1.0,,,,,,,,,,,,,,,,,,,,
,Jun,24-28,2,MORI,TT,28.0,-1.0,46.0,2.0,23.0,1.0,,,-18.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Jun,30-5,9,Gallup,DT,24.5,-0.5,43.0,-6.0,26.5,3.5,,,-18.5,5.5,,,,,,,,,,,,,,,,,,,,
,Jun,2-28,,G9000,,24.2,-2.6,45.8,1.6,24.5,0.9,,,-21.6,-4.2,,,18.4,75.5,-57.1,43.0,35.4,7.6,62.3,20.7,41.6,,15.8,29.0,24.9,,11.0,80.4,-69.4,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,2-3,7,ICM,GU,28.0,1.0,42.0,-1.0,23.0,-2.0,,,-14.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Jul,,25,Gallup,STel,31.0,6.5,46.0,3.0,20.0,-6.5,,,-15.0,3.5,,,,,,,,,,,,,,,,,,,,
,Jul,22-26,29,MORI,TT,27.0,-7.0,44.0,0.0,25.0,7.0,,,-17.0,-7.0,,,,,,,,,,,,,,,,,,,,
,Jul,23,25,MORI,ST,34.0,6.0,44.0,-2.0,18.0,-5.0,,,-10.0,8.0,,,,,,,,,,,,,,,,,,,,
,Jul,28-2,6,Gallup,DT,23.0,-8.0,44.5,-1.5,27.0,7.0,,,-21.5,-6.5,,,,,,,,,,,,,,,,,,,,
,Jul,30,1,MORI,TT,27.0,0.0,41.0,-3.0,28.0,3.0,,,-14.0,3.0,,,,,,,,,,,,,,,,,,,,
,Jul,30/6-3/8,,G9000,,25.4,1.2,44.7,-1.1,24.7,0.2,,,-19.3,2.3,,,19.5,74.0,-54.5,45.0,33.9,11.1,63.3,20.5,42.8,,17.7,30.2,25.0,,12.2,79.0,-66.8,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,6-7,12,ICM,GU,28.0,0.0,40.0,-2.0,28.0,5.0,,,-12.0,2.0,,,,,,,,,,,,,,,,,,,,
,Aug,19-23,27,MORI,TT,28.0,1.0,42.0,1.0,25.0,-3.0,,,-14.0,0.0,,,,,,,,,,,,,,,,,,,,
,Aug,3-31/8,,G9000,,23.7,-1.7,42.9,-1.8,28.3,3.6,,,-19.2,0.1,,,19.5,74.4,-54.9,43.7,34.3,9.4,63.7,20.0,43.7,,16.1,27.9,25.8,,12.0,79.0,-67.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,2-6,,Gallup,DT,25.5,2.5,46.5,2.0,23.0,-4.0,,,-21.0,0.5,,,,,,,,,,,,,,,,,,,,
,Sep,10-11,17,ICM,GU,27.0,-1.0,45.0,5.0,24.0,-4.0,,,-18.0,-6.0,,,,,,,,,,,,,,,,,,,,
,Sep,16-20,23,MORI,TT,29.0,1.0,43.0,1.0,25.0,0.0,,,-14.0,0.0,,,,,,,,,,,,,,,,,,,,
,Sep,16-21,26,Gallup,DT,23.5,-2.0,44.0,-2.5,26.5,3.5,,,-20.5,0.5,,,,,,,,,,,,,,,,,,,,
,Sep,,26,ICM,SE,27.0,,41.0,,26.0,,,,-14.0,,Phone,,,,,,,,,,,,,,,,,,,
,Sep,22-27,4,Gallup,DT,23.0,-0.5,44.5,0.5,27.0,0.5,,,-21.5,-1.0,,,,,,,,,,,,,,,,,,,,
,Sep,2-28/9,,G9000,,24.3,0.6,45.0,2.1,24.7,-3.6,,,-20.7,-1.5,,,19.4,73.7,-54.3,44.2,34.5,9.7,62.9,20.7,42.2,,16.7,29.8,24.5,,11.9,79.5,-67.6,Are you satisfied or dissatisfied with the Government's record to date?
,Oct,8-9,10,ICM,SE,30.0,3.0,40.0,-1.0,26.0,0.0,,,-10.0,4.0,Phone,,,,,,,,,,,,,,,,,,,
,Oct,,13,ICM,GU,31.0,1.0,46.0,6.0,19.0,-7.0,,,-15.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Oct,,24,MORI,ST,29.0,0.0,43.0,0.0,25.0,0.0,,,-14.0,0.0,,,,,,,,,,,,,,,,,,,,
,Oct,21-25,29,MORI,TT,29.0,0.0,45.0,2.0,23.0,-2.0,,,-16.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Oct,27-1,5,Gallup,DT,24.0,1.0,46.5,2.0,25.5,-1.5,,,-22.5,-1.0,,,,,,,,,,,,,,,,,,,,
,Oct,29/9-2/11,,G9000,,26.2,1.9,45.6,0.6,22.6,-2.1,,,-19.4,-1.3,,,22.6,70.2,-47.6,53.1,27.5,25.6,60.3,22.7,37.6,,19.1,31.3,21.0,,13.1,77.3,-64.2,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,5-6,11,ICM,GU,29.0,-2.0,45.0,-1.0,23.0,4.0,,,-16.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Nov,12-13,,NOP,,27.0,,47.0,,21.0,,,,-20.0,,,,,,,,,,,,,,,,,,,,,
,Nov,18-22,26,MORI,TT,29.0,0.0,47.0,2.0,22.0,-1.0,,,-18.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Nov,3-30,,G9000,,25.4,-0.8,46.2,0.6,22.4,-0.2,,,-20.8,-1.4,,,20.2,73.3,-53.1,49.6,29.6,20.0,57.8,24.1,33.7,,17.6,32.0,21.7,,12.3,78.9,-66.6,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,1-6,10,Gallup,DT,27.0,3.0,48.5,2.0,20.0,-5.5,,,-21.5,1.0,,,,,,,,,,,,,,,,,,,,
,Dec,3-4,8,ICM,GU,26.0,-3.0,47.0,2.0,23.0,0.0,,,-21.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Dec,9-13,17,MORI,TT,29.0,0.0,47.0,0.0,20.0,-2.0,,,-18.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dec,13-14,19,ICM,OB,26.0,0.0,48.0,1.0,23.0,0.0,,,-22.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Dec,1-21,,G9000,,26.8,1.4,46.4,0.2,21.3,-1.1,,,-19.6,1.2,,,22.9,70.2,-47.3,50.1,30.6,19.5,57.4,24.5,32.9,,19.3,31.5,20.0,,14.0,76.5,-62.5,Are you satisfied or dissatisfied with the Government's record to date?
1994,Jan,6-11,14,Gallup,DT,25.5,-1.5,46.5,-2.0,20.5,0.5,,,-21.0,0.5,,,,,,,,,,,,,,,,,,,,
,Jan,7-8,12,ICM,GU,26.0,0.0,50.0,2.0,20.0,-3.0,,,-24.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Jan,10-11,,MORI,Sun,30.0,,46.0,,20.0,,,,-16.0,,Phone,,,,,,,,,,,,,,,,,,,
,Jan,20-24,28,MORI,TT,28.0,-1.0,48.0,1.0,20.0,0.0,,,-20.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jan,26-1,4,Gallup,DT,26.0,0.5,45.5,-1.0,23.0,2.5,,,-19.5,1.5,,,,,,,,,,,,,,,,,,,,
,Jan,27,30,ASL,SM,28.0,,41.0,,24.0,,,,-13.0,,Phone,,,,,,,,,,,,,,,,,,,
,Jan,6/1-1/2,,G9000,,25.5,-1.3,48.2,1.8,20.8,-0.5,,,-22.7,-3.1,,,21.6,71.9,-50.3,50.5,30.0,20.5,56.6,24.1,32.5,,17.8,34.0,20.1,,13.8,77.2,-63.4,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,11-12,16,ICM,GU,26.0,,51.0,1.0,20.0,,,,-25.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Feb,22-28,4,Gallup,DT,25.0,-1.0,48.5,3.0,21.0,-2.0,,,-23.5,-4.0,,,,,,,,,,,,,,,,,,,,
,Feb,24-28,4,MORI,TT,28.0,,47.0,-1.0,21.0,1.0,,,-19.0,1.0,,,,,,,,,,,,,,,,,,,,
,Feb,2/2-1/3,,G9000,,26.3,0.8,47.6,-0.6,21.0,0.2,,,-21.3,1.4,,,23.2,70.5,-47.3,52.5,29.8,22.7,59.1,23.1,36.0,,19.2,34.2,20.5,,14.0,77.3,-63.3,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,11-12,16,ICM,GU,24.0,-2.0,49.0,-2.0,22.0,2.0,,,-25.0,0.0,Old methodology,,,,,,,,,,,,,,,,,,,
,Mar,,,ICM,GU,28.0,,47.0,,21.0,,,,-19.0,,New methodology,,,,,,,,,,,,,,,,,,,
,Mar,24-28,31,MORI,TT,28.0,,49.0,2.0,20.0,-1.0,,,-21.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Mar,29-4,8,Gallup,DT,26.5,1.5,51.5,3.0,17.5,-2.5,,,-25.0,-1.5,,,,,,,,,,,,,,,,,,,,
,Mar,31,3,NOP,IoS,26.0,,50.0,,20.0,,,,-24.0,,,,,,,,,,,,,,,,,,,,,
,Mar,1-29,,G9000,,25.9,-0.4,47.7,0.1,20.4,-0.6,,,-21.8,-0.5,,,22.5,70.6,-48.1,50.3,28.8,21.5,54.6,23.6,31.0,,19.0,30.8,19.3,,13.9,76.6,-62.7,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,6,8,MORI,ES,28.0,0.0,46.0,-3.0,22.0,2.0,,,-18.0,3.0,,,,,,,,,,,,,,,,,,,,
,Apr,8-9,13,ICM,GU,29.0,1.0,46.0,-1.0,22.0,1.0,,,-17.0,2.0,,,,,,,,,,,,,,,,,,,,
,Apr,20,23,NOP,Ind,26.0,0.0,48.0,-2.0,21.0,1.0,,,-22.0,2.0,,,,,,,,,,,,,,,,,,,,
,Apr,21-25,28,MORI,TT,26.0,-2.0,47.0,-2.0,23.0,3.0,,,-21.0,0.0,,,,,,,,,,,,,,,,,,,,
,Apr,29/3-3/5,,G9000,,24.4,-1.5,48.3,0.6,22.3,1.9,,,-23.9,-2.1,,,19.3,73.9,-54.6,48.5,31.1,17.4,56.9,24.7,32.2,,15.2,32.2,21.1,,12.0,78.9,-66.9,Are you satisfied or dissatisfied with the Government's record to date?
,May,4-9,14,Gallup,DT,24.5,-2.0,45.5,-6.0,25.0,7.5,,,-21.0,4.0,,,,,,,,,,,,,,,,,,,,
,May,6-7,11,ICM,GU,27.0,-2.0,43.0,-3.0,25.0,3.0,,,-16.0,1.0,,,,,,,,,,,,,,,,,,,,
,May,13-14,,MORI ,,26.0,,49.0,,20.0,,,,-23.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,
,May,17,23,ICM,DE,27.0,0.0,46.0,3.0,22.0,-3.0,,,-19.0,-3.0,,,,,,,,,,,,,,,,,,,,
,May,19-23,26,MORI,TT,27.0,1.0,46.0,-1.0,23.0,0.0,,,-19.0,2.0,,,,,,,,,,,,,,,,,,,,
,May,20-21,25,ICM,GU,30.0,3.0,44.0,-1.0,20.0,-2.0,,,-14.0,4.0,,,,,,,,,,,,,,,,,,,,
,May,25-30,6,Gallup,DT,23.0,-1.5,53.5,8.0,19.0,-6.0,,,-30.5,-9.5,,,,,,,,,,,,,,,,,,,,
,May,4-31,,G9000,,22.8,-1.6,49.2,0.9,23.1,0.8,,,-26.4,-2.5,,,18.6,74.3,-55.7,,,,59.4,21.3,38.1,,,,,,11.1,79.5,-68.4,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,2-6,9,MORI,TT,23.0,-4.0,51.0,5.0,21.0,-2.0,,,-28.0,-9.0,,,,,,,,,,,,,,,,,,,,
,Jun,4,8,ICM,DE,27.0,0.0,45.0,-1.0,22.0,0.0,,,-18.0,1.0,,,,,,,,,,,,,,,,,,,,
,Jun,10,12,ICM,SE,26.5,-3.5,45.5,1.5,19.0,-1.0,,,-19.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Jun,,12,MORI ,GMB,22.0,-1.0,46.0,-5.0,22.0,1.0,,,-24.0,4.0,Phone,,,,,,,,,,,,,,,,,,,
,Jun,16-20,24,MORI,TT,24.0,2.0,52.0,6.0,20.0,-2.0,,,-28.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Jun,30-1,8,Gallup,DT,26.5,3.5,51.0,-2.5,17.5,-1.5,,,-24.5,6.0,,,,,,,,,,,,,,,,,,,,
,Jun,1-27,,G9000,,21.6,-1.2,51.8,2.6,20.3,-2.8,,,-30.2,-3.8,,,18.8,73.8,-55.0,,,,53.8,23.5,30.3,,,,,,10.7,78.9,-68.2,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,8-9,13,ICM,GU,31.0,1.0,44.0,0.0,21.0,1.0,,,-13.0,1.0,,,,,,,,,,,,,,,,,,,,
,Jul,14-18,22,MORI,TT,23.0,-1.0,51.0,-1.0,21.0,1.0,,,-28.0,0.0,,,,,,,,,,,,,,,,,,,,
,Jul,27-1,5,Gallup,DT,23.0,-3.5,56.5,5.5,14.5,-3.0,,,-33.5,-9.0,,,,,,,,,,,,,,,,,,,,
,Jul,30/6-2/8,,G9000,,22.0,0.4,54.7,2.9,17.4,-2.9,,,-32.7,-2.5,,,19.6,73.4,-53.8,50.0,17.0,33.0,56.6,23.2,33.4,,15.0,45.0,15.0,,11.3,78.3,-67.0,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,5-6,10,ICM,GU,28.0,-3.0,49.0,5.0,19.0,-2.0,,,-21.0,8.0,,,,,,,,,,,,,,,,,,,,
,Aug,20-21,26,MORI,TT,23.0,0.0,56.0,5.0,18.0,-3.0,,,-33.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Aug,26,28,NOP,IoS,26.0,,54.0,,16.0,,,,-28.0,,,,,,,,,,,,,,,,,,,,,
,Aug,3-30,,G9000,,23.0,1.0,55.5,0.8,16.6,-0.8,,,-32.5,0.2,,,19.7,73.0,-53.3,58.3,13.5,44.8,55.5,24.1,31.4,,15.6,41.5,14.5,,11.9,77.9,-66.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,1-5,9,Gallup,DT,22.0,-1.0,56.5,0.0,17.0,2.5,,,-34.5,-1.0,,,,,,,,,,,,,,,,,,,,
,Sep,9-10,15,ICM,GU,33.0,5.0,45.0,-4.0,18.0,-1.0,,,-12.0,9.0,,,,,,,,,,,,,,,,,,,,
,Sep,15-16,20,NOP,Ind,30.0,4.0,48.0,-6.0,17.0,1.0,,,-18.0,10.0,,,,,,,,,,,,,,,,,,,,
,Sep,22-26,30,MORI,TT,25.0,2.0,54.0,-2.0,17.0,-1.0,,,-29.0,4.0,,,,,,,,,,,,,,,,,,,,
