Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,Govt good,Govt bad,Govt net,Question
,Dec,9-17,,Gallup,DT,49.5,3.0,32.0,-4.0,12.0,0.5,17.5,7.0,,,,,,34.0,,,,,,,,21.0,64.0,-43.0,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,,,ORC,ES,47.0,1.0,36.0,-3.0,12.0,2.0,11.0,4.0,,,,,,,,,,,,,,,,,
1968,Jan,6-14,,Gallup,DT,45.0,-4.5,39.5,7.5,11.0,-1.0,5.5,-12.0,,,,,,33.0,,,,,,,,23.0,55.0,-32.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jan,24-29,,NOP,DM,53.6,8.1,34.8,-3.0,9.9,-2.6,18.8,11.1,,,,,,,,,,,,,,,,,
,Jan,,,ORC,ES,51.0,4.0,34.0,-2.0,11.0,-1.0,17.0,6.0,,,,,,,,,,,,,,,,,
,Feb,3-11,,Gallup,DT,52.5,7.5,30.0,-9.5,12.5,1.5,22.5,17.0,,,,,,36.0,,,,,,,,23.0,63.0,-40.0,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,7-12,,NOP,DM,50.8,-2.8,33.6,-1.2,12.2,2.3,17.2,-1.6,,,,,,,,,,,,,,,,,
,Feb,,,ORC,ES,50.0,-1.0,34.0,0.0,11.0,0.0,16.0,-1.0,,,,,,,,,,,,,,,,,
,Mar,,,Gallup,DT,50.0,-2.5,31.0,1.0,15.0,2.5,19.0,-3.5,,,,,,35.0,,,,,,,,18.0,66.0,-48.0,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,6-11,,NOP,DM,50.0,-0.8,35.9,2.3,10.4,-1.8,14.1,-3.1,,,,,,,,,,,,,,,,,
,Mar,,,ORC,ES,48.0,-2.0,35.0,1.0,12.0,1.0,13.0,-3.0,,,,,,,,,,,,,,,,,
,Apr,3-8,,NOP,DM,55.5,5.5,32.1,-3.8,9.0,-1.4,23.4,9.3,,,,,,,,,,,,,,,,,
,Apr,,,ORC,ES,56.0,8.0,28.0,-7.0,11.0,-1.0,28.0,15.0,,,,,,,,,,,,,,,,,
,Apr,30-7,,Gallup,DT,54.5,4.5,30.0,-1.0,12.5,-2.5,24.5,5.5,,,,,,31.0,,,,,,,,17.0,69.0,-52.0,Are you satisfied or dissatisfied with the Government's record to date?
,May,1-6,,NOP,DM,53.3,-2.2,30.9,-1.2,11.5,2.5,22.4,-1.0,,,,,,,,,,,,,,,,,
,May,10-13,,Gallup,DT,56.0,1.5,28.0,-2.0,11.0,-1.5,28.0,3.5,,,,,,27.0,,,,,,,,19.0,69.0,-50.0,Are you satisfied or dissatisfied with the Government's record to date?
,May,22-27,,NOP,DM,51.2,-2.1,33.0,2.1,11.5,0.0,18.2,-4.2,,,,,,,,,,,,,,,,,
,May,,,ORC,ES,54.0,-2.0,31.0,3.0,11.0,0.0,23.0,-5.0,,,,,,,,,,,,,,,,,
,Jun,7-9,,Gallup,DT,51.5,-4.5,28.0,0.0,14.0,3.0,23.5,-4.5,,,,,,28.0,,,,,,,,19.0,67.0,-48.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,12-17,,NOP,DM,52.8,1.6,33.3,0.3,9.3,-2.2,19.5,1.3,,,,,,,,,,,,,,,,,
,Jun,,,ORC,ES,50.0,-4.0,34.0,3.0,12.0,1.0,16.0,-7.0,,,,,,,,,,,,,,,,,
,Jul,3-8,,NOP,DM,49.4,-3.4,35.5,2.2,11.4,2.1,13.9,-5.6,,,,,,,,,,,,,,,,,
,Jul,4-7,,Gallup,DT,50.0,-1.5,30.0,2.0,13.0,-1.0,20.0,-3.5,,,,,,30.0,,,,,,,,18.0,63.0,-45.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,17-22,,NOP,DM,51.2,1.8,35.7,0.2,9.2,-2.2,15.5,1.6,,,,,,,,,,,,,,,,,
,Jul,,,ORC,ES,49.0,-1.0,34.0,0.0,11.0,-1.0,15.0,-1.0,,,,,,,,,,,,,,,,,
,Aug,,,Gallup,DT,49.5,-0.5,34.5,4.5,11.5,-1.5,15.0,-5.0,,,,,,30.0,,,,,,,,21.0,60.0,-39.0,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,14-19,,NOP,DM,47.8,-3.4,37.0,1.3,11.7,2.5,10.8,-4.7,,,,,,,,,,,,,,,,,
,Aug,,,ORC,ES,49.0,0.0,37.0,3.0,10.0,-1.0,12.0,-3.0,,,,,,,,,,,,,,,,,
,Sep,4-9,,NOP,DM,49.0,1.2,39.5,2.5,8.7,-3.0,9.5,-1.3,,,,,,,,,,,,,,,,,
,Sep,12-15,,Gallup,DT,47.0,-2.5,37.0,2.5,11.5,0.0,10.0,-5.0,,,,,,33.0,,,,,,,,24.0,58.0,-34.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,18-23,,NOP,DM,47.8,-1.2,37.2,-2.3,10.8,2.1,10.6,1.1,,,,,,,,,,,,,,,,,
,Sep,,,ORC,ES,51.0,2.0,32.0,-5.0,13.0,3.0,19.0,7.0,,,,,,,,,,,,,,,,,
,Oct,,25,Marplan,TT,47.1,,39.2,,9.3,,7.9,,UK not GB?,First Times poll from Marplan,,,,,,,,,,,,,,,
,Oct,,,Gallup,DT,47.0,0.0,39.0,2.0,9.5,-2.0,8.0,-2.0,,,,,,38.0,,,,,,,,28.0,54.0,-26.0,Are you satisfied or dissatisfied with the Government's record to date?
,Oct,9-14,,NOP,DM,49.1,1.3,39.7,2.5,8.8,-2.0,9.4,-1.2,,,,,,,,,,,,,,,,,
,Oct,23-28,,NOP,DM,46.0,-3.1,42.0,2.3,8.9,0.1,4.0,-5.4,,,,,,,,,,,,,,,,,
,Oct,,,ORC,ES,49.0,-2.0,37.0,5.0,10.0,-3.0,12.0,-7.0,,,,,,,,,,,,,,,,,
,Nov,6-11,,NOP,DM,50.8,4.8,37.7,-4.3,8.7,-0.2,13.1,9.1,,,,,,,,,,,,,,,,,
,Nov,7-10,,Gallup,DT,50.5,3.5,32.0,-7.0,14.0,4.5,18.5,10.5,,,,,,31.0,,,,,,,,20.0,60.0,-40.0,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,,,ORC,ES,47.0,-2.0,38.0,1.0,11.0,1.0,9.0,-3.0,,,,,,,,,,,,,,,,,
,Dec,5-9,,Gallup,DT,55.0,4.5,29.5,-2.5,11.0,-3.0,25.5,7.0,,,,,,28.0,,,,,,,,17.0,70.0,-53.0,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,11-16,,NOP,DM,55.0,4.2,33.3,-4.4,8.4,-0.3,21.7,8.6,,,,,,,,,,,,,,,,,
,Dec,,,ORC,ES,55.0,8.0,28.0,-10.0,13.0,2.0,27.0,18.0,,,,,,,,,,,,,,,,,
1969,Jan,,,Marplan,TT,52.3,5.2,32.2,-7.0,12.1,2.8,20.1,12.2,UK not GB?,,,,,,,,,,,,,,,,
,Jan,9-12,,Gallup,DT,53.0,-2.0,31.0,1.5,11.5,0.5,22.0,-3.5,,,,,,34.0,,,,,,,,23.0,60.0,-37.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jan,9-14,,NOP,DM,52.2,-2.8,32.5,-0.8,12.1,3.7,19.7,-2.0,,,,,,,,,,,,,,,,,
,Jan,23-28,,NOP,DM,47.3,-4.9,36.9,4.4,12.6,0.5,10.4,-9.3,,,,,,,,,,,,,,,,,
,Jan,,,ORC,ES,49.0,-6.0,33.0,5.0,13.0,0.0,16.0,-11.0,,,,,,,,,,,,,,,,,
,Feb,6-11,,NOP,DM,56.7,9.4,32.1,-4.8,8.9,-3.7,24.6,14.2,,,,,,,,,,,,,,,,,
,Feb,13-16,,Gallup,DT,54.5,1.5,32.0,1.0,11.0,-0.5,22.5,0.5,,,,,,32.0,,,,,,,,22.0,61.0,-39.0,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,20-25,,NOP,DM,54.6,-2.1,32.5,0.4,10.0,1.1,22.1,-2.5,,,,,,,,,,,,,,,,,
,Feb,,,ORC,ES,55.0,6.0,32.0,-1.0,10.0,-3.0,23.0,7.0,,,,,,,,,,,,,,,,,
,Mar,6-11,,NOP,DM,51.7,-2.9,35.8,3.3,10.1,0.1,15.9,-6.2,,,,,,,,,,,,,,,,,
,Mar,14-16,,Gallup,DT,52.5,-2.0,34.0,2.0,10.0,-1.0,18.5,-4.0,,,,,,35.0,,,,,,,,22.0,59.0,-37.0,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,26-31,,NOP,DM,55.4,3.7,32.3,-3.5,9.5,-0.6,23.1,7.2,,,,,,,,,,,,,,,,,
,Mar,,,ORC,ES,56.0,1.0,31.0,-1.0,10.0,0.0,25.0,2.0,,,,,,,,,,,,,,,,,
,Apr,,,Marplan,TT,54.9,2.6,28.1,-4.1,13.8,1.7,26.8,6.7,UK not GB?,,,,,,,,,,,,,,,,
,Apr,9-14,,NOP,DM,54.8,-0.6,32.9,0.6,10.3,0.8,21.9,-1.2,,,,,,,,,,,,,,,,,
,Apr,18-22,,Gallup,DT,51.0,-1.5,30.5,-3.5,13.0,3.0,20.5,2.0,,,,,,30.0,,,,,,,,21.0,64.0,-43.0,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,,,ORC,ES,54.0,-2.0,31.0,0.0,12.0,2.0,23.0,-2.0,,,,,,,,,,,,,,,,,
,Apr,30-5,,NOP,DM,54.4,-0.4,31.8,-1.1,11.4,1.1,22.6,0.7,,,,,,,,,,,,,,,,,
,May,14-19,,NOP,DM,54.6,0.2,31.5,-0.3,11.3,-0.1,23.1,0.5,,,,,,,,,,,,,,,,,
,May,15-18,,Gallup,DT,52.0,1.0,30.5,0.0,13.5,0.5,21.5,1.0,,,,,,29.0,,,,,,,,19.0,65.0,-46.0,Are you satisfied or dissatisfied with the Government's record to date?
,May,,,ORC,ES,53.0,-1.0,32.0,1.0,13.0,1.0,21.0,-2.0,,,,,,,,,,,,,,,,,
,Jun,4-9,,NOP,DM,52.0,-2.6,34.9,3.4,10.1,-1.2,17.1,-6.0,,,,,,,,,,,,,,,,,
,Jun,13-16,,Gallup,DT,51.0,-1.0,35.0,4.5,12.0,-1.5,16.0,-5.5,,,,,,35.0,,,,,,,,24.0,60.0,-36.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,25-30,,NOP,DM,51.3,-0.7,36.1,1.2,9.4,-0.7,15.2,-1.9,,,,,,,,,,,,,,,,,
,Jun,,,ORC,ES,54.0,1.0,33.0,1.0,10.0,-3.0,21.0,0.0,,,,,,,,,,,,,,,,,
,Jul,,,Marplan,TT,51.0,-3.9,31.9,3.8,13.6,-0.2,19.1,-7.7,UK not GB?,,,,,,,,,,,,,,,,
,Jul,9-14,,NOP,DM,52.0,0.7,36.6,0.5,10.0,0.6,15.4,0.2,,,,,,,,,,,,,,,,,
,Jul,10-13,,Gallup,DT,55.0,4.0,31.5,-3.5,11.0,-1.0,23.5,7.5,,,,,,30.0,,,,,,,,22.0,61.0,-39.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,23-28,,NOP,DM,52.5,0.5,34.2,-2.4,10.4,0.4,18.3,2.9,,,,,,,,,,,,,,,,,
,Jul,,,ORC,ES,52.0,-2.0,33.0,0.0,13.0,3.0,19.0,-2.0,,,,,,,,,,,,,,,,,
,Aug,13-18,,NOP,DM,50.7,-1.8,35.2,1.0,12.2,1.8,15.5,-2.8,,,,,,,,,,,,,,,,,
,Aug,14-17,,Gallup,DT,47.0,-8.0,34.5,3.0,15.5,4.5,12.5,-11.0,,,,,,26.0,,,,,,,,25.0,58.0,-33.0,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,,,ORC,ES,51.0,-1.0,33.0,0.0,13.0,0.0,18.0,-1.0,,,,,,,,,,,,,,,,,
,Sep,3-8,,NOP,DM,53.3,2.6,33.7,-1.5,11.0,-1.2,19.6,4.1,,,,,,,,,,,,,,,,,
,Sep,11-14,,Gallup,DT,46.5,-0.5,37.0,2.5,13.0,-2.5,9.5,-3.0,,,,,,39.0,,,,,,,,28.0,56.0,-28.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,17-22,,NOP,DM,47.5,-5.8,37.5,3.8,12.7,1.7,10.0,-9.6,,,,,,,,,,,,,,,,,
,Sep,,,ORC,ES,48.0,-3.0,37.0,4.0,12.0,-1.0,11.0,-7.0,,,,,,,,,,,,,,,,,
,Sep,,,Harris,DE,52.0,,35.0,,11.0,,17.0,,,,,,,,,,,,,,,,,,
,Oct,,,Marplan,TT,45.6,-5.4,42.1,10.2,9.8,-3.8,3.5,-15.6,UK not GB?,,,,,,,,,,,,,,,,
,Oct,8-13,,NOP,DM,50.1,2.6,40.1,2.6,8.0,-4.7,10.0,0.0,,,,,,,,,,,,,,,,,
,Oct,16-19,,Gallup,DT,46.5,0.0,44.5,7.5,7.0,-6.0,2.0,-7.5,,,,,,43.0,,,,,,,,35.0,47.0,-12.0,Are you satisfied or dissatisfied with the Government's record to date?
,Oct,,,ORC,ES,46.0,-2.0,42.0,5.0,10.0,-2.0,4.0,-7.0,,,,,,,,,,,,,,,,,
,Oct,,,Harris,DE,51.0,-1.0,39.0,4.0,9.0,-2.0,12.0,-5.0,,,,,,,,,,,,,,,,,
,Nov,5-10,,NOP,DM,48.1,-2.0,42.2,2.1,8.1,0.1,5.9,-4.1,,,,,,,,,,,,,,,,,
,Nov,10-17,,NOP,DM,48.6,0.5,40.9,-1.3,8.9,0.8,7.7,1.8,,,,,,,,,,,,,,,,,
,Nov,13-16,,Gallup,DT,45.0,-1.5,41.5,-3.0,10.0,3.0,3.5,1.5,,,,,,41.0,,,,,,,,35.0,48.0,-13.0,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,,,ORC,ES,48.0,2.0,39.0,-3.0,10.0,0.0,9.0,5.0,,,,,,,,,,,,,,,,,
,Nov,,,Harris,DE,50.0,-1.0,40.0,1.0,8.0,-1.0,10.0,-2.0,,,,,,,,,,,,,,,,,
,Dec,10-15,,NOP,DM,47.6,-1.0,44.4,3.5,7.1,-1.8,3.2,-4.5,,,,,,,,,,,,,,,,,
,Dec,11-14,18,Gallup,DT,50.0,5.0,39.5,-2.0,9.0,-1.0,10.5,7.0,,,,,,38.0,,,,,,,,31.0,53.0,-22.0,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,,,ORC,ES,49.0,1.0,40.0,1.0,8.0,-2.0,9.0,0.0,,,,,,,,,,,,,,,,,
1970,Jan,,,Marplan,TT,51.3,5.7,38.6,-3.5,8.7,-1.1,12.7,9.2,UK not GB?,,,,,,,,,,,,,,,,
,Jan,7-12,,NOP,DM,48.4,0.8,41.7,-2.7,8.4,1.3,6.7,3.5,,,,,,,,,,,,,,,,,
,Jan,15-18,,Gallup,DT,48.5,-1.5,41.0,1.5,7.0,-2.0,7.5,-3.0,,,,,,42.0,,,,,,,,32.0,49.0,-17.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jan,,,ORC,ES,52.0,3.0,37.0,-3.0,9.0,1.0,15.0,6.0,,,,,,,,,,,,,,,,,
,Jan,,,Harris,DE,51.0,1.0,40.0,0.0,8.0,0.0,11.0,1.0,,,,,,,,,,,,,,,,,
,Feb,4-9,,NOP,DM,51.2,2.8,40.6,-1.1,7.1,-1.3,10.6,3.9,,,,,,,,,,,,,,,,,
,Feb,12-15,,Gallup,DT,48.0,-0.5,41.0,0.0,9.0,2.0,7.0,-0.5,,,,,,42.0,,,,,,,,31.0,51.0,-20.0,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,,,ORC,ES,50.0,-2.0,38.0,1.0,9.0,0.0,12.0,-3.0,,,,,,,,,,,,,,,,,
,Feb,,,Harris,DE,52.0,1.0,40.0,0.0,6.0,-2.0,12.0,1.0,,,,,,,,,,,,,,,,,
,Mar,4-9,,NOP,DM,49.5,-1.7,42.0,1.4,7.1,0.0,7.5,-3.1,,,,,,,,,,,,,,,,,
,Mar,13-15,,Gallup,DT,46.5,-1.5,41.0,0.0,9.5,0.5,5.5,-1.5,,,,,,42.0,,,,,,,,35.0,48.0,-13.0,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,,,ORC,ES,48.0,-2.0,41.0,3.0,8.0,-1.0,7.0,-5.0,,,,,,,,,,,,,,,,,
,Mar,,,Harris,DE,49.0,-3.0,42.0,2.0,7.0,1.0,7.0,-5.0,,,,,,,,,,,,,,,,,
,Apr,,,Marplan,TT,45.2,-6.1,46.0,7.4,6.8,-1.9,-0.8,-13.5,UK not GB?,,,,,,,,,,,,,,,,
,Apr,7-13,,NOP,DM,49.7,0.2,41.3,-0.7,7.5,0.4,8.4,0.9,,,,,,,,,,,,,,,,,
,Apr,17-19,,Gallup,DT,47.0,0.5,42.5,1.5,7.5,-2.0,4.5,-1.0,,,,,,45.0,,,,,,,,42.0,42.0,0.0,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,21-27,,NOP,DM,47.3,-2.4,44.4,3.1,6.9,-0.6,2.9,-5.5,,,,,,,,,,,,,,,,,
,Apr,,,ORC,ES,47.0,-1.0,41.0,0.0,9.0,1.0,6.0,-1.0,,,,,,,,,,,,,,,,,
,Apr,,,Harris,DE,44.0,-5.0,46.0,4.0,7.0,0.0,-2.0,-9.0,,,,,,,,,,,,,,,,,
,May,5-9,,Gallup,DT,41.5,-5.5,49.0,6.5,7.5,0.0,-7.5,-12.0,,,,,,49.0,,,,,,,,,,,
,May,5-11,,NOP,DM,44.4,-2.9,47.6,3.2,6.7,-0.2,-3.2,-6.1,,,,,,,,,,,,,,,,,
,May,,19,Marplan,TT,44.5,-0.7,47.2,1.2,6.6,-0.2,-2.7,-1.9,UK not GB,,,,,,,,,,,,,,,,
,May,,20,Harris,DE,46.0,2.0,48.0,2.0,6.0,-1.0,-2.0,0.0,,,,,,,,,,,,,,,,,
,May,13-17,21,Gallup,DT,42.5,1.0,49.5,0.5,6.5,-1.0,-7.0,0.5,,,,,,,,,,,,,,,,,
,May,,21,ORC,ES,44.5,-2.5,45.5,4.5,7.0,-2.0,-1.0,-7.0,,,,,,,,,,,,,,,,,
,May,,28,ORC,ES,43.0,-1.5,45.0,-0.5,10.0,3.0,-2.0,-1.0,,,,,,,,,,,,,,,,,
